time,x,y,diameter,numberOfDetections
992.757,639.5,359.5,1230.837890625,1
992.787,579.1009521484375,394.4187927246094,6.698544025421143,3
992.818,578.5088500976562,394.86663818359375,4.5762715339660645,2
992.878,554.757568359375,386.51513671875,3.3338842391967773,2
992.939,554.6666870117188,386.0,1.7207592725753784,1
993.303,1050.0,412.3333435058594,1.7207592725753784,1
993.333,1050.0,412.3333435058594,1.7207592725753784,1
993.363,1050.0,412.0,2.0,1
993.484,1035.9349365234375,487.84552001953125,5.347912788391113,1
993.515,1036.0,487.8833312988281,5.088169574737549,1
993.545,1035.931640625,488.01708984375,4.609841346740723,1
993.575,1035.8333740234375,487.8809509277344,4.383324146270752,1
993.696,1043.5806884765625,460.3440856933594,5.013382434844971,1
993.727,1043.8485107421875,460.38385009765625,5.060676574707031,1
993.757,1043.7066650390625,460.50665283203125,5.021058082580566,1
993.878,1089.647216796875,464.2604675292969,2.282299041748047,1
993.939,1089.3048095703125,464.25018310546875,2.4142136573791504,1
994.09,1107.919677734375,433.883544921875,7.320526123046875,1
994.272,1136.5858154296875,405.70550537109375,8.168787002563477,1
994.484,1134.585205078125,333.5113220214844,8.327924728393555,1
994.909,1063.2667236328125,289.73333740234375,3.6734163761138916,1
995.151,1095.8111572265625,344.6000061035156,7.661189079284668,1
995.575,1132.415283203125,248.1256866455078,6.385525703430176,1
999.727,1143.1883544921875,503.6534729003906,10.706701278686523,1
1000.333,364.2745056152344,492.37255859375,3.672062635421753,1
1001.909,391.8108825683594,465.45831298828125,1.7207592725753784,1
1002.727,374.07550048828125,211.6812744140625,2.0,1
1003.333,424.41156005859375,80.87049865722656,1.7916128635406494,1
1007.727,523.6767578125,609.7120971679688,6.878097057342529,1
1008.09,462.5047607421875,603.4190673828125,5.259695529937744,1
1010.727,561.923095703125,95.43589782714844,4.094032287597656,1
1014.302,531.0652465820312,593.0565185546875,12.563164710998535,1
1015.363,592.5679931640625,342.37945556640625,14.65689468383789,1
1015.515,632.9306640625,268.56072998046875,24.83655548095703,1
1015.696,632.5198974609375,211.984619140625,2.0,1
1016.09,628.6609497070312,146.91830444335938,2.291255474090576,1
1017.363,610.61767578125,267.6470642089844,4.901318550109863,1
1019.333,670.2794799804688,592.0535888671875,2.0,1
1019.484,624.6055908203125,554.4249267578125,3.205921173095703,1
1019.757,720.4471435546875,549.0164794921875,6.584573745727539,1
1019.969,697.8529663085938,470.88958740234375,2.6886847019195557,1
1020.121,658.9818115234375,285.2996520996094,18.89301109313965,1
1020.727,725.966064453125,220.23809814453125,2.198742151260376,1
1020.939,696.0833740234375,183.08877563476562,2.2466161251068115,1
1022.333,673.5025024414062,440.2686462402344,6.7555155754089355,1
1022.878,730.8299560546875,566.448974609375,5.613114833831787,1
1023.302,722.4771118164062,537.9379272460938,8.264717102050781,1
1023.545,773.2468872070312,467.0740661621094,4.4131269454956055,1
1023.696,859.447265625,509.5487060546875,2.5067384243011475,1
1024.272,821.6541748046875,342.8999938964844,7.338157653808594,1
1024.969,813.6069946289062,175.27777099609375,10.48064136505127,1
1025.151,813.7261962890625,180.92857360839844,4.603043556213379,1
1025.939,762.4967041015625,312.4836730957031,5.853422164916992,1
1027.545,800.6969604492188,491.69696044921875,2.9554388523101807,1
1027.969,814.2266235351562,534.158203125,3.5036489963531494,1
1028.121,792.6071166992188,527.4943237304688,4.289055824279785,1
1028.272,845.4091186523438,426.42425537109375,3.6864078044891357,1
1028.515,865.199462890625,400.8727111816406,1.4142135381698608,1
1029.09,813.6231689453125,262.40411376953125,4.5884833335876465,1
1029.272,850.6337890625,239.1361541748047,9.536202430725098,1
1029.363,851.458984375,238.92294311523438,11.282366752624512,1
1029.757,857.629638671875,240.92591857910156,2.490035057067871,1
1029.969,929.4007568359375,183.5131072998047,7.423190593719482,1
1030.302,770.4359130859375,247.2051239013672,3.282451868057251,1
1030.333,770.3571166992188,247.14285278320312,3.4233055114746094,1
1030.484,794.5555419921875,272.5555419921875,3.3035707473754883,1
1031.151,859.435546875,419.3377685546875,7.2164692878723145,1
1032.121,863.0076293945312,433.68341064453125,6.944879531860352,1
1032.545,887.0303344726562,459.0503845214844,2.0,1
1032.757,880.76513671875,464.3787841796875,7.622175693511963,1
1032.878,898.219970703125,417.0533142089844,2.0,1
1033.151,985.119384765625,454.0934753417969,2.0,1
1033.363,974.8338012695312,348.0436706542969,2.0,1
1033.575,960.610107421875,354.40521240234375,11.60527229309082,1
1033.696,954.6723022460938,324.9792175292969,2.0615527629852295,1
1033.757,951.5897827148438,319.024169921875,2.0,1
1033.878,970.3892822265625,249.9641571044922,5.148808002471924,1
1033.969,970.2542114257812,249.7577667236328,5.030388355255127,1
1034.302,1019.3692016601562,189.44802856445312,8.32927131652832,1
1034.545,964.0557250976562,183.52732849121094,20.136394500732422,1
1034.727,943.8179321289062,173.60223388671875,8.946349143981934,1
1035.484,887.51513671875,299.1515197753906,3.4731028079986572,1
1036.121,965.4185791015625,392.5503845214844,5.240516662597656,1
1036.727,927.4321899414062,474.53143310546875,2.0,1
1036.939,958.0814819335938,479.77777099609375,7.635234355926514,1
1037.09,1019.9124145507812,414.6603088378906,2.0,1
1037.333,974.3591918945312,320.59173583984375,9.226090431213379,1
1037.484,1085.605712890625,332.73052978515625,3.956171989440918,1
1037.575,1072.8533935546875,341.1333312988281,5.861395359039307,1
1037.908,996.2404174804688,204.67669677734375,3.1094911098480225,1
1038.939,977.6000366210938,224.20611572265625,2.0,1
1039.151,1034.3333740234375,227.3333282470703,1.4907119274139404,1
1039.363,984.0,272.0,2.0,1
1040.514,1100.7738037109375,495.8265380859375,11.88115119934082,1
1040.575,1100.5333251953125,496.5948791503906,6.890307903289795,1
1040.696,1041.901611328125,446.2276306152344,2.0,1
1040.727,1046.273681640625,444.2149963378906,15.436217308044434,1
1040.969,1067.2490234375,418.8250732421875,10.576461791992188,1
1041.09,1060.6768798828125,382.61016845703125,13.68143081665039,1
1041.484,1071.5181884765625,250.53857421875,12.082141876220703,1
1041.545,1071.6279296875,250.49302673339844,11.596332550048828,1
1041.908,1058.37353515625,289.0732727050781,9.693305969238281,1
1042.514,1017.9255981445312,262.5208740234375,1.4142135381698608,1
1043.727,1038.56494140625,484.8353271484375,5.347912788391113,1
1043.939,1043.941650390625,460.3999938964844,5.388261795043945,1
1044.363,1107.8431396484375,433.8862609863281,7.575577259063721,1
1044.575,1136.5633544921875,405.8638610839844,6.899076461791992,1
1044.727,1134.4481201171875,333.5120544433594,7.709807395935059,1
1045.09,1063.3333740234375,289.5454406738281,3.7268433570861816,1
1045.363,1095.872314453125,344.634765625,8.009960174560547,1
1045.939,1075.649169921875,240.26315307617188,5.0993170738220215,1
1046.514,1013.7777709960938,379.0,2.2466161251068115,1
1047.151,1049.37548828125,474.9326171875,3.291200637817383,1
1047.727,1089.076904296875,451.4102478027344,4.1285271644592285,1
1047.878,1173.5892333984375,446.79461669921875,8.02155590057373,1
1047.908,1173.3851318359375,446.5016174316406,8.414488792419434,1
1048.363,1151.2452392578125,335.9971618652344,15.78164005279541,1
1048.514,1139.1326904296875,318.8662109375,13.843502044677734,1
